APN,New AIN,Old AIN
4128011912,4128-011-912,
4128011913,4128-011-913,
4128011914,4128-011-914,
4128011915,4128-011-915,
4128015005,4128-015-915,4128-015-005*
4128015914,4128-015-914,
4128016923,4128-016-923,
4128016924,4128-016-924,
4128016925,4128-016-925,
4128016926,4128-016-926,
4128017022,4128-017-924,4128-017-022*
4128017922,4128-017-922,
4128017923,4128-017-923,
4128018022,4128-018-919,4128-018-022*
4128019913,4128-019-913,
4128022911,4128-022-911,
4128022916,4128-022-916,
4128023902,4128-023-902,
4128023903,4128-023-903,
4128023905,4128-023-905,
4128023907,4128-023-907,
4128023908,4128-023-908,
4207004021,4207-004-037,4207-004-021*
4208005020,4208-005-037,4208-005-020*
4208009003,,
4208009004,,
4215023018,4215-023-033,4215-023-018*
4215031013,,
4217007003,,
4217008024,,
4217016002,,
4217026014,,
4217027002,,
4217027004,,
4220005040,4220-005-056,4220-005-040*
4220005041,4220-005-056,4220-005-041*
4220018041,,
4220020006,,
4221007026,4221-007-056,4221-007-026*
4221007027,,
4221019002,,
4221030037,,
4226003005,,
4226003021,,
4226005012,,
4226015007,4226-015-032,4226-015-007*
4226018020,,
4226018021,,
4226021019,,
4226023004,,
4227001007,4227-001-027,4227-001-007*
4227008001,,
4227014006,,
4227019012,,
4228003020,,
4228016020,4228-016-081,4228-016-020*
4229006062,,
4230003063,,
4230004002,,
4230004012,4230-004-039,4230-004-012*
4231017025,,
4232001010,,
4232001011,,
4232012033,4232-012-033,4232-012-033*
4232012034,4232-012-034,4232-012-034*
4232023032,4232-023-032,
4233007007,4233-007-062,4233-007-007*
4233009005,4233-009-046,4233-009-005*
4233016016,4233-016-035,4233-016-016*
4233018006,4233-018-022,4233-018-006*
4233018009,,
4233018012,,
4233019020,4233-019-031,4233-019-020*
4233020016,,
4233022010,4233-022-073,4233-022-010*
4233023087,4233-023-087,4233-023-087*
4234003014,,
4234003058,4234-008-047,4234-003-058*
4234003060,4234-003-060,4234-003-060*
4234008024,4234-008-046,4234-008-024*
4234008041,4234-008-046,4234-008-041*
4234014016,4234-014-031,4234-014-016*
4234015008,4234-015-028,4234-015-008*
4234017017,,
4235002002,4235-002-017,4235-002-002*
4235002003,4235-002-018,4235-002-003*
4235004009,4235-004-040,4235-004-009*
4235012003,,
4235016007,,
4235018028,4235-018-028,
4236004001,4236-004-045,4236-004-001*
4236004007,4236-004-044,4236-004-007*
4236005001,,
4236006013,,
4236006014,,
4236006015,,
4236008024,,
4236008031,,
4236008035,,
4236015022,,
4236018021,,
4236019020,4236-019-078,4236-019-020*
4236019021,4236-019-078,4236-019-021*
4236019022,4236-019-078,4236-019-022*
4236019026,,
4236021020,,
4236021021,,
4237007008,4237-007-045,4237-007-008*
4237008009,,
4237009023,,
4237018005,,
4237029009,,
4238003003,,
4238003015,,
4238004007,,
4238005040,,
4238010018,,
4238015009,,
4238016012,4238-016-031,4238-016-012*
4238017001,,
4238017038,,
4238019004,,
4238019007,4238-019-028,4238-019-007*
4238019010,,
4238020004,4238-020-042,4238-020-004*
4238020005,,
4238020006,,
4238021008,,
4238021020,4238-021-044,4238-021-020*
4238023020,4238-023-042,4238-023-020*
4239002012,,
4239002020,,
4239003012,,
4239006009,,
4239007017,,
4239011026,,
4239013002,,
4239013028,4239-013-040,4239-013-028*
4239021019,,
4239022021,,
4239023032,4239-023-045,4239-023-032*
4239025017,,
4239026038,4239-026-038,4239-026-038*
4239028006,,
4239029010,,
4240005019,,
4240005024,,
4240006009,,
4240006031,,
4240010010,,
4240010014,,
4240010032,4240-010-047,4240-010-032*
4240011024,,
4240013017,4240-013-047,4240-013-017*
4240013021,,
4240014012,,
4240014030,,
4240016055,,
4240016071,,
4241005027,4241-005-031,4241-005-027*
4241006026,4241-006-038,4241-006-026*
4241007008,4241-007-042,4241-007-008*
4241007016,,
4241009006,,
4241011002,,
4241011036,,
4241013005,,
4241013014,,
4241014022,,
4241015021,,
4241015022,,
4241016033,4241-016-035,4241-016-033*
4241019001,,
4241020029,,
4241021014,,
4241024027,,
4241027015,,
4241028005,4241-028-018,4241-028-005*
4241029029,,
4241032004,,
4241033013,,
4242001028,,
4242002016,,
4242013023,,
4242013024,4242-013-026,4242-013-024*
4242014015,,
4242014025,,
4243002065,4243-002-073,4243-002-065*
4243011013,,
4244019018,,
4244019023,,
4244020033,,
4244025012,,
4244025030,,
4244026006,,
4244027016,,
4244028003,,
4244028021,,
4245023022,,
4246007015,,
4246008010,,
4246028015,,
4248023002,,
4248023012,,
4248026019,4248-026-042,4248-026-019*
4248027003,4248-027-031,4248-027-003*
4248027003,4248-027-031,4248-027-003*
4249026027,,
4250024027,4250-024-027,4250-024-027*
4250024030,4250-024-029,4250-024-030*
4251002003,4251-002-023,4251-002-003*
